score_Tile,customers,responses,avg_predicted_probability,min_predicted_probability,max_predicted_probability,response_rate,lift,cumulative_customers,cumulative_responses,cumulative_response_rate,cumulative_lift,share_of_total_responses_captured,targeted_population_pct
1,905,453,0.7890937195913311,0.6672738194527486,0.9547622582854688,0.5005524861878453,4.278351732132973,905,453,0.5005524861878453,4.278351732132973,0.4281663516068053,0.10007740793984297
2,904,189,0.5670662556843398,0.4920777221495906,0.6670261354811373,0.2090707964601769,1.786982242334008,1809,642,0.3548922056384743,3.033355591293689,0.6068052930056711,0.2000442331084817
3,904,101,0.4492085505783766,0.4142986106961653,0.4920421325310597,0.1117256637168141,0.9549481824112952,2713,743,0.2738665683744932,2.340808485643234,0.7022684310018904,0.30001105827712043
4,904,78,0.3865714699665885,0.3603107618928416,0.414243582012139,0.0862831858407079,0.7374847349314954,3617,821,0.226983688139342,1.9400883665822968,0.775992438563327,0.39997788344575913
5,904,62,0.3373738551302609,0.3140977722064386,0.3602026579228229,0.0685840707964601,0.5862058149455476,4521,883,0.1953107719531077,1.669371749311865,0.834593572778828,0.4999447086143979
6,905,53,0.2934584721388136,0.2734701806271616,0.3140019697955218,0.0585635359116022,0.5005577081744979,5426,936,0.1725027644673792,1.4744258025316737,0.8846880907372401,0.6000221165542409
7,904,41,0.254617652477298,0.235926035242228,0.2734675291775278,0.0453539823008849,0.3876522324639911,6330,977,0.15434439178515,1.3192214885757203,0.9234404536862004,0.6999889417228796
8,904,29,0.2178698204749874,0.1988414819292301,0.2359048570667434,0.0320796460176991,0.2741930424745303,7234,1006,0.1390655239148465,1.1886290479791657,0.9508506616257087,0.7999557668915183
9,904,29,0.1786532661871234,0.1568716496449236,0.1988220589065841,0.0320796460176991,0.2741930424745303,8138,1035,0.1271811255836815,1.087050017630654,0.9782608695652174,0.899922592060157
10,905,23,0.1251571184815423,0.0423031924199986,0.1568709848731833,0.0254143646408839,0.2172231563776123,9043,1058,0.1169965719340926,1.0,1.0,1.0
