targeting_strategy,customers_targeted,share_customers_targeted,responses_captured,share_responses_captured,targeted_response_rate,targeted_lift
Top 10%,905,0.10007740793984297,453,0.4281663516068053,0.5005524861878453,4.278351732132973
Top 20%,1809,0.2000442331084817,642,0.6068052930056711,0.3548922056384743,3.033355591293689
Top 30%,2713,0.30001105827712043,743,0.7022684310018904,0.2738665683744932,2.340808485643234
Top 40%,3617,0.39997788344575913,821,0.775992438563327,0.226983688139342,1.9400883665822968
Top 50%,4521,0.4999447086143979,883,0.834593572778828,0.1953107719531077,1.669371749311865
Top 60%,5426,0.6000221165542409,936,0.8846880907372401,0.1725027644673792,1.4744258025316737
Top 70%,6330,0.6999889417228796,977,0.9234404536862004,0.15434439178515,1.3192214885757203
Top 80%,7234,0.7999557668915183,1006,0.9508506616257087,0.1390655239148465,1.1886290479791657
Top 90%,8138,0.899922592060157,1035,0.9782608695652174,0.1271811255836815,1.087050017630654
Top 100%,9043,1.0,1058,1.0,0.1169965719340926,1.0
